participantId,totalCount,totalAmountValue,totalAmountCurrency,fundDirection,transactionDate
2031228700000000,568,761822400,CNY,D,2023-06-01T00:00:00+08:00
participantId,transactionType,subTotalAmountValue,subTotalAmountCurrency,fundDirection,counterParticipantId,counterParticipantSubTotalAmountValue,counterParticipantSubTotalAmountCurrency,subTotalCount
2031228700000000,TRANSFER,761822400,CNY,D,105WFSG000000001000,761822400,CNY,568
participantId,transactionRequestId,transactionType,originalTransactionRequestId,transactionTime,amount,currency,fundDirection,counterParticipantId,counterParticipantAmountValue,counterParticipantAmountCurrency,quoteId,quotePrice,transactionId
2031228700000000,80165214376,TRANSFER,,2023-06-01T08:31:31+08:00,1599500,CNY,D,105WFSG000000001000,1599500,CNY,,,2023060119097101000190002376959
2031228700000000,80199902983,TRANSFER,,2023-06-01T18:49:45+08:00,530900,CNY,D,105WFSG000000001000,530900,CNY,,,2023060119097101000660002645637
2031228700000000,80411991861,TRANSFER,,2023-06-01T07:43:15+08:00,1061100,CNY,D,105WFSG000000001000,1061100,CNY,,,2023053119097101000020002622681
2031228700000000,80785545253,TRANSFER,,2023-06-01T11:14:15+08:00,3201800,CNY,D,105WFSG000000001000,3201800,CNY,,,2023060119097101000460002614891
2031228700000000,80146866108,TRANSFER,,2023-06-01T20:17:15+08:00,50700,CNY,D,105WFSG000000001000,50700,CNY,,,2023060119097101000440002632365
2031228700000000,80583262298,TRANSFER,,2023-06-01T20:44:53+08:00,13300,CNY,D,105WFSG000000001000,13300,CNY,,,2023060119097101000410002374229
2031228700000000,80576534017,TRANSFER,,2023-06-01T15:37:59+08:00,50600,CNY,D,105WFSG000000001000,50600,CNY,,,2023060119097101000320002626575
2031228700000000,80532005991,TRANSFER,,2023-06-01T11:41:04+08:00,50700,CNY,D,105WFSG000000001000,50700,CNY,,,2023060119097101000560002658128
2031228700000000,80766274294,TRANSFER,,2023-06-01T09:48:24+08:00,530500,CNY,D,105WFSG000000001000,530500,CNY,,,2023060119097101000990002381381
2031228700000000,80247815386,TRANSFER,,2023-06-01T13:43:04+08:00,1096000,CNY,D,105WFSG000000001000,1096000,CNY,,,2023060119097101000340002602636
2031228700000000,80755926623,TRANSFER,,2023-06-01T21:20:08+08:00,34700,CNY,D,105WFSG000000001000,34700,CNY,,,2023060119097101000410002374557
2031228700000000,80243642140,TRANSFER,,2023-06-01T20:31:23+08:00,150000,CNY,D,105WFSG000000001000,150000,CNY,,,2023060119097101000420002613750
2031228700000000,80212691674,TRANSFER,,2023-06-01T10:49:54+08:00,1065500,CNY,D,105WFSG000000001000,1065500,CNY,,,2023060119097101000320002626955
2031228700000000,80187634358,TRANSFER,,2023-06-01T11:02:54+08:00,2133600,CNY,D,105WFSG000000001000,2133600,CNY,,,2023060119097101000030002384236
2031228700000000,80111174357,TRANSFER,,2023-06-01T16:23:38+08:00,2662100,CNY,D,105WFSG000000001000,2662100,CNY,,,2023060119097101000840002619690
2031228700000000,80108561212,TRANSFER,,2023-06-01T10:53:15+08:00,1065500,CNY,D,105WFSG000000001000,1065500,CNY,,,2023060119097101000400002622046
2031228700000000,80148270773,TRANSFER,,2023-06-01T11:02:29+08:00,1599500,CNY,D,105WFSG000000001000,1599500,CNY,,,2023060119097101000430002377738
2031228700000000,80146044734,TRANSFER,,2023-06-01T11:27:59+08:00,264300,CNY,D,105WFSG000000001000,264300,CNY,,,2023060119097101000670002368586
2031228700000000,80136774008,TRANSFER,,2023-06-01T16:22:59+08:00,3195100,CNY,D,105WFSG000000001000,3195100,CNY,,,2023060119097101000640002636778
2031228700000000,80230652881,TRANSFER,,2023-06-01T14:30:38+08:00,572900,CNY,D,105WFSG000000001000,572900,CNY,,,2023060119097101000330002373895
